2026-04-09 19:48:37,712 | INFO | System Stats: {'cpu': 2.1, 'memory': {'total': 34269642752, 'used': 11712307200, 'percent': 34.2}, 'disk': {'total': 499450433536, 'used': 410715557888, 'percent': 82.2}}
2026-04-09 19:48:37,712 | INFO | Network Status: [{'host': '8.8.8.8', 'reachable': True, 'port_80_open': False}, {'host': 'google.com', 'reachable': True, 'port_80_open': True}, {'host': 'localhost', 'reachable': True, 'port_80_open': False}]
2026-04-09 19:49:14,510 | INFO | System Stats: {'cpu': 4.6, 'memory': {'total': 34269642752, 'used': 11653578752, 'percent': 34.0}, 'disk': {'total': 499450433536, 'used': 410709975040, 'percent': 82.2}}
2026-04-09 19:49:14,510 | INFO | Network Status: [{'host': '8.8.8.8', 'reachable': True, 'port_80_open': False}, {'host': 'google.com', 'reachable': True, 'port_80_open': True}, {'host': 'localhost', 'reachable': True, 'port_80_open': False}]
2026-04-09 19:52:33,050 | INFO | System Stats: {'cpu': 3.2, 'memory': {'total': 34269642752, 'used': 11781120000, 'percent': 34.4}, 'disk': {'total': 499450433536, 'used': 410727714816, 'percent': 82.2}}
2026-04-09 19:52:33,050 | INFO | Network Status: [{'host': '8.8.8.8', 'reachable': True, 'port_80_open': False}, {'host': 'google.com', 'reachable': True, 'port_80_open': True}, {'host': 'localhost', 'reachable': True, 'port_80_open': False}]
2026-04-09 19:53:53,937 | INFO | System Stats: {'cpu': 3.4, 'memory': {'total': 34269642752, 'used': 11898339328, 'percent': 34.7}, 'disk': {'total': 499450433536, 'used': 410727038976, 'percent': 82.2}}
2026-04-09 19:53:53,937 | INFO | Network Status: [{'host': '8.8.8.8', 'reachable': True, 'port_80_open': False}, {'host': 'google.com', 'reachable': True, 'port_80_open': True}, {'host': 'localhost', 'reachable': True, 'port_80_open': False}]
2026-04-09 20:23:15,117 | INFO | System Stats: {'cpu': 4.7, 'memory': {'total': 34269642752, 'used': 12160614400, 'percent': 35.5}, 'disk': {'total': 499450433536, 'used': 410782519296, 'percent': 82.2}}
2026-04-09 20:23:15,117 | INFO | Network Status: [{'host': '8.8.8.8', 'reachable': True, 'port_80_open': False}, {'host': 'google.com', 'reachable': True, 'port_80_open': True}, {'host': 'localhost', 'reachable': True, 'port_80_open': False}]
